"Sneaker_name","Sneaker_url","Sneaker_img","Sneaker_title","Sneaker_title_url","Sneaker_brand","Sneaker_brand_url","Sneaker_price","Sneaker_description","Sneaker_brand_img","Sneaker_brand_img_url"
"Nike Air Force 1 React D/MS/X (weiß)","https://www.43einhalb.com/p/nike-air-force-1-react-d-ms-x-weiss-384554","https://43einhalb.com/media/233434/w/616/h/370/n/nike-ct1020-101-air-force-1-react-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","€ 119,95","Der Nike Air Force 1 ist eine Universalsprache. Er ist einer der wenigen Schuhe, die auf der ganzen Welt getragen werden!
Im Jahre 1982 wurde der Air Force 1 erstmals auf den Markt gebracht. Es ist der Nike-Sneaker, der wohl den höchsten Wiedererkennungswert überhaupt genießt, nicht zuletzt weil er in der HipHop-Szene über Jahrzehnte gefeiert wurde wie kein anderer Sneaker. Auch aus technischer Sicht muss sich dieser Klassiker nicht verstecken: Der Air Force 1 kommt mit einem durchgehenden Air-Element für leichte Dämpfung und angenehmes Tragegefühl. Zudem sorgt die Gummi-Außensohle für den nötigen Grip.
Hier wird dem Air Force 1 ein neues Makeover verpasst. Er kombiniert ein modernes Design mit legendärem Basketball-Style und verleiht Dir einen markanten, auffälligen Look. Der extragroße Swoosh in Silber, ein großzügiges »Air« auf der Mittelsole und ein neues Sohlenprofil verleihen Dir Style, während das Drop-in-Fußbett mit Nike React Technologie für weichen, federnden Tragekomfort sorgt. Ein Air-Element in der Ferse sorgt für reaktionsfreudige Dämpfung. Die legendären Linien im Obermaterial wurden für einen dramatischen Look verstärkt und der klassische Leiste auf der Ferse wurde durch TPU-Streifen ersetzt.
Zu unseren Nike Air Force-Modellen.","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
"HOKA ONE ONE x Opening Ceremony Bondi 6","https://www.43einhalb.com/p/hoka-one-one-x-opening-ceremony-bondi-6-397428","https://43einhalb.com/media/225253/w/616/h/370/n/hoka-one-one-1019269-wwrf-m-bondi-6-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","€ 149,95","Releasedate: 21.02.2020 | Online: 00:01 Uhr.
2009 setzten sich Nicolas Mermoud und Jean-Luc Dirad ein Ziel: einen Laufschuh zu entwickeln, der den anspruchsvollen Trails in den Alpen, Pyrenäen und Dolomiten gewachsen ist. Um dieses Ziel zu erreichen gründeten die beiden ehemaligen Salomon Mitarbeiter Hoka One One (ausgesprochen: O-Nay O-Nay). Dieses Ziel wurde bereits in den ersten Jahren erreicht und Hoka One One eroberte die Welt des Sports im Sturm. Jetzt ist die Power-Brand bereit, sich den Hürden der Modewelt zu stellen und mit höchster Funktionalität und sportlichem Design die Streetwear-Szene zu erobern.
In diesem Sinne präsentiert Hoka One One mit der innovativen Bondi-Silhouette ein wahres Dämpfungs-Genie mit coolem Design – als wahrer Road-Runner kann der Bondi mit der besten Dämpfung im gesamten Hoka One One-Sortiment glänzen. Doch damit gibt sich die Brand noch lange nicht zufrieden und bringt den neuen Bondi 6 mit noch mehr Leistung auf den Markt. Dank der durchgehenden EVA-Zwischensohle und der speziellen Meta-Rocker-Technologie garantiert der 6er ein angenehmes, gleichmäßiges Laufgefühl und sorgt auf kurzen wie auf langen Strecken für dauerhaften Komfort. Die offene Mesh-Konstruktion liefert zusätzlich eine optimale Atmungsaktivität und eine angenehme Leichtigkeit.
Hier kommt der Hoka One One Bondi 6 im cleanen Colorway in strahlendem Weiß. Die silbernen Details machen den straßentauglichen Streetwear-Look komplett.","https://43einhalb.com/media/218277/w/240/h/158/n/218277.jpg","https://www.43einhalb.com/marken/hoka-one-one"
"VEJA V-10 Leather (weiß / bunt)","https://www.43einhalb.com/p/veja-v-10-leather-weiss-bunt-465705","https://43einhalb.com/media/250673/w/616/h/370/n/veja-vx021960-v-10-leather-extra-white-1.jpg","V-10 Leather (weiß / bunt)","","VEJA","","€ 124,95","Nachhaltig. Fair. Zeitlos. - »Sneakers that are made differently«!
Seit der Unternehmensgründung 2005 stellt VEJA erfolgreich unter Beweis, dass Stilbewusstsein und Nachhaltigkeit auch in der Sneaker-Branche Hand in Hand gehen können. Dabei ist die Idee hinter einem Paar VEJA Sneaker genau so simpel wie genial: Schlüpfe mit einem Fuß in überzeugendes Design und übernehme mit dem anderen soziale Verantwortung!
Doch erstmal von vorne: Im Jahr 2005 stellten sich die beiden französischen VEJA-Gründer Sébastien Kopp und François-Ghislain Morillion eine folgenreiche Frage: »Ist eine andere Welt möglich?« . Um eine Antwort auf diese entscheidende Frage zu finden, begaben sich die Zwei auf eine lange Reise, auf der sie die Entwicklung und Produktion von Turnschuhen sowie die entstehenden Rohstoffpreise nachvollziehen und verstehen wollten. Während ihrer Reise fanden sie nicht nur eine bejahende Antwort auf ihre Frage, sondern auch den Namen ihres neuen Unternehmens - VEJA ist Portugiesisch und beutetet »Schau hin!«. Und genau dies tut das innovative und umweltbewusste Label auch: Getrieben von der Vision das Konsumverhalten nachhaltig zu verändern, setzt VEJA auf transparente Produktionsketten, faire Arbeitsbedingungen und umweltfreundliche Materialien.
Wie alle VEJA-Modelle wurde auch der »VEJA V-10 Leather« in Brasilien unter fairsten Arbeitsbedingungen und aus nachhaltigen Materialen hergestellt. So kommt das Obermaterial aus pflanzlich gegerbten Leder, während das Innenfutter aus biologisch abgebauter Baumwolle besteht. Auch die Sohle ist aus nachhaltigem Naturkautschuk gefertigt. Selbstverständlich braucht der »V 10 Leather« sich auch in Sachen Optik nicht zu verstecken. Das weiße Upper mit dem roten Branding und der abgedunkelten Midsole garantiert das VEJA-typische cleane Design und einen zeitlosen Look.","https://43einhalb.com/media/237386/w/240/h/158/n/237386.jpg","https://www.43einhalb.com/marken/veja"
"Autry Medalist W (beige / rot)","https://www.43einhalb.com/p/autry-medalist-w-beige-rot-463364","https://43einhalb.com/media/247881/w/616/h/370/n/autry-aulwll21-medalist-1.jpg","V-10 - B-MESH (beige / weiß)","https://www.43einhalb.com/p/veja-v-10%09-b-mesh-beige-weiss-392484","VEJA","https://www.43einhalb.com/p/veja-v-10%09-b-mesh-beige-weiss-392484","€ 139,95","Gegründet 1982 in Dallas (Texas), war Autry in den 80er Jahren eine der angesagtesten Sport-Brands auf dem US-Markt. Damals war das Label auf Tennis, Running und Aerobic Schuhe ausgerichtet und erlangte dank diverser Innovationen im Bereich Design und Technologie sowie einiger Auszeichnungen große Bekanntheit.
Spätestens seit 2019 sorgt Autry mit der originalgetreuen Neuauflage des prämierten »Medalist« Sneaker erneut für Furore – und dieses Mal nicht nur in Nordamerika. An dieser Stelle feiern wir es sehr, dass wir ab sofort »den Schuh mit der amerikanischen Flagge« auch bei uns im Shop begrüßen dürfen!
Hier zeigt sich Autry‘s Signature Schuh »Medalist« im klassichen Tennis-Look. Die farblichen Akzente, das typische Autry-Branding mit US-Flagge und die abgedunkelte Vintage-Sohle sorgen für eine große Portion an Retro-Charme und bleiben der unvergleichlichen Autry-Heritage treu.","https://43einhalb.com/media/250603/w/240/h/158/n/250603.jpg","https://www.43einhalb.com/marken/autry"
"Autry Medalist W (beige / schwarz)","https://www.43einhalb.com/p/autry-medalist-w-beige-schwarz-444854","https://43einhalb.com/media/247833/w/616/h/370/n/autry-woman-aulwll22-01-low-wom-1-kopie.jpg","V-10 - B-MESH (beige / weiß)","https://www.43einhalb.com/p/veja-v-10%09-b-mesh-beige-weiss-392484","VEJA","https://www.43einhalb.com/p/veja-v-10%09-b-mesh-beige-weiss-392484","€ 139,95","Gegründet 1982 in Dallas (Texas), war Autry in den 80er Jahren eine der angesagtesten Sport-Brands auf dem US-Markt. Damals war das Label auf Tennis, Running und Aerobic Schuhe ausgerichtet und erlangte dank diverser Innovationen im Bereich Design und Technologie sowie einiger Auszeichnungen große Bekanntheit.
Spätestens seit 2019 sorgt Autry mit der originalgetreuen Neuauflage des prämierten »Medalist« Sneaker erneut für Furore – und dieses Mal nicht nur in Nordamerika. An dieser Stelle feiern wir es sehr, dass wir ab sofort »den Schuh mit der amerikanischen Flagge« auch bei uns im Shop begrüßen dürfen!
Hier zeigt sich Autry‘s Signature Schuh »Medalist« im klassichen Tennis-Look. Die farblichen Akzente, das typische Autry-Branding mit US-Flagge und die abgedunkelte Vintage-Sohle sorgen für eine große Portion an Retro-Charme und bleiben der unvergleichlichen Autry-Heritage treu.","https://43einhalb.com/media/250603/w/240/h/158/n/250603.jpg","https://www.43einhalb.com/marken/autry"
"Birkenstock Amsterdam BZ VEG (hellgrau)","https://www.43einhalb.com/p/birkenstock-amsterdam-bz-veg-hellgrau-438592","https://43einhalb.com/media/245852/w/616/h/370/n/birkenstock-0559113-amsterdam-bs-1.jpg","Cloud Hi (grau)","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","On","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","€ 54,95","Manchmal ist weniger einfach mehr! Getreu dieser Devise besticht der BIRKENSTOCK Amsterdam durch seine cleane und schlichte Optik. Der ausgedehnte Schaft des Clogs verleiht dem Fuß einen sicheren Halt und sorgt gleichzeitig für Komfort. Die beliebte Sandale wurde mit einem Material-Update versehen und ist ab sofort in einer veganen Version erhältlich. Sie ist komplett frei von tierischen Bestandteilen, was durch unabhängige Prüflabore belegt wurde. Die farblich abgestimmte Laufsohle rundet das raffinierte Erscheinungsbild des Schuhs ab. Zusätzlich besteht das Obermaterial aus einem weichen Synthetikfilz, welches aus recycelten Plastikflaschen gewonnen wurde.","https://43einhalb.com/media/246935/w/240/h/158/n/246935.jpg","https://www.43einhalb.com/marken/birkenstock"
"Birkenstock Amsterdam FE VEG (pink)","https://www.43einhalb.com/p/birkenstock-amsterdam-fe-veg-pink-438576","https://43einhalb.com/media/245869/w/616/h/370/n/birkenstock-1017699-amsterdam-bs-1.jpg","Arizona BF Patent Fuchsia Tulip","https://www.43einhalb.com/p/birkenstock-arizona-bf-patent-fuchsia-tulip-438400","Birkenstock","https://www.43einhalb.com/p/birkenstock-arizona-bf-patent-fuchsia-tulip-438400","€ 54,95","Manchmal ist weniger einfach mehr! Getreu dieser Devise besticht der BIRKENSTOCK Amsterdam durch seine cleane und schlichte Optik. Der ausgedehnte Schaft des Clogs verleiht dem Fuß einen sicheren Halt und sorgt gleichzeitig für Komfort. Die beliebte Sandale wurde mit einem Material-Update versehen und ist ab sofort in einer veganen Version erhältlich. Sie ist komplett frei von tierischen Bestandteilen, was durch unabhängige Prüflabore belegt wurde. Die farblich abgestimmte Laufsohle rundet das raffinierte Erscheinungsbild des Schuhs ab. Zusätzlich besteht das Obermaterial aus einem weichen Synthetikfilz, welches aus recycelten Plastikflaschen gewonnen wurde.","https://43einhalb.com/media/246935/w/240/h/158/n/246935.jpg","https://www.43einhalb.com/marken/birkenstock"
"Birkenstock Zermatt Soft WZ Vermouth","https://www.43einhalb.com/p/birkenstock-zermatt-soft-wz-vermouth-438384","https://43einhalb.com/media/243448/w/616/h/370/n/birkenstock-1017530-zermatt-rivet-1-kopie.jpg","Zermatt Soft WZ Vermouth","","Birkenstock","","€ 64,95","BITTE BEACHTE: Die meisten Birkenstock Modelle sind in zwei Weiten verfügbar – schmal (Narrow Fit) und normal (Regular Fit). Die Zermatt Soft WZ Sandale hat eine normale Passform. Wenn du besonders schmale und zierliche Füße hast, dann stöbere am besten in unserer Narrow Fit - Auswahl.
Bitte beachte generell, dass das anatomische Fußbett etwas Zeit benötigt, um sich deinem Fuß perfekt anzupassen.
Die Birkenstock Sandalen begeistern uns nun schon seit mehr als 240 Jahren und immer wieder beglückt uns das deutsche Traditionsunternehmen mit neuen Kreationen ihrer Klassiker. Der Erfolg von Birkenstock wurzelt in der Hingabe der Familie an die Kunst des orthopädisch inspirierten Schuhmacherhandwerks. Über die Jahrzehnte hinweg ist ein Erfahrungsschatz gereift, der seinesgleichen sucht und der von Generation zu Generation weitergegeben, kultiviert und weiter ausgebaut wird. Das Fußbett ist das Herzstück eines jeden Modells, passt sich individuell an und garantiert den höchsten Tragekomfort, also gib der Sandale ein bisschen Zeit um sich deinem Fuß perfekt anzupassen.
Heute begegnen sie uns überall und sind aus Lifestyle und Fashion nicht mehr wegzudenken, wobei man bei der Dauerpräsenz, die die Schlappen aufweisen, schon nicht mehr nur von einem Trend sprechen kann.
Mit dem Zermatt liefert uns Birkenstock den ersten Hausschuh mit herausnehmbaren Fußbett und ermöglich somit die Wahl zwischen verschieden Einlagen, die einzeln erhältlich sind. Ideal für das ganze Jahr! Als Standard Footbed ist zunächst das anatomisch geformte Kork-Latex-Fußbett enthalten, welches für eine Extraportion Tragekomfort sorgt. Das Obermaterial aus Wollfilz sorgt für eine bequemen Look & Feel.","https://43einhalb.com/media/246935/w/240/h/158/n/246935.jpg","https://www.43einhalb.com/marken/birkenstock"
"Stepney Workers Club Dellow Suede (schwarz)","https://www.43einhalb.com/p/stepney-workers-club-dellow-suede-schwarz-421038","https://43einhalb.com/media/233915/w/616/h/370/n/swc-dellow-m-suede-black-1.jpg","Cloud ""All Black""","https://www.43einhalb.com/p/on-cloud-all-black-106398","On","https://www.43einhalb.com/p/on-cloud-all-black-106398","€ 99,95","Stepney Workers Club ist eine in London ansässige Lifestyle-Marke, welche von der integrativen Kultur klassischer »Workers Sports Clubs« (Arbeitersportvereine) inspiriert ist. Ihre Botschaft und der Slogan »Freedom Of Sport, Freedom Of Thought« sowie das Handshake-Symbol repräsentieren die Werte, das liberale Denken und die Einheit, die S.W.C mit diesen Gruppen verbindet.
Wir freuen uns sehr, dass wir ab sofort einige Unisex Modelle von S.W.C in unserem Onlineshop begrüßen dürfen - so wie den Dellow Suede! Das Modell zeichnet sich durch ein dekonstruiertes Obermaterial aus Wildleder und durch eine hochwertige, gepolsterte sowie sehr flexible Sohle aus. Die Sohle des Dellow wurde on top noch mit einem verdeckten Lamellenprofil für verbesserten Grip ausgestattet.
Die schmale Silhouette, das weiche Wildleder auf dem Upper und die langlebige vulkanisierte Gum-Sohle machen den S.W.C Dellow Suede zu einem vielseitigen und zuverlässigen Sneaker!","https://43einhalb.com/media/211355/w/240/h/158/n/211355.jpg","https://www.43einhalb.com/marken/stepney-workers-club"
"Nike Air VaporMax Plus ""Triple Black""","https://www.43einhalb.com/p/nike-air-vapormax-plus-triple-black-210095","https://43einhalb.com/media/245118/w/616/h/370/n/nike-924453-004-air-vapormax-plus-1.jpg","Cloud ""All Black""","https://www.43einhalb.com/p/on-cloud-all-black-106398","On","https://www.43einhalb.com/p/on-cloud-all-black-106398","€ 209,95","Nike Sportswear verschmelzt gerne Neues mit Altem - so auch beim brandneuen Air VaporMax Plus.
Der Hybrid kommt mit einem Obermaterial, das vom Air Max Plus aus 1998 inspiriert ist. Die durchsichtige Außensohle stammt vom VaporMax, der erst in 2017 seine Markteinführung feierte. Eine wichtige Änderungen am neuen Modell hat Nike allerdings vorgenommen: So wurde das herkömmliche »Tn Air« Branding des Air Max Plus durch das neue »Vm Air« Logo ersetzt, das natürlich für VaporMax steht.
Insgesamt eine spannende Kombination, die uns schon auf den ersten Blick zusagt - und das liegt vor allem auch am cleanen »Triple Black« Colorway!","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
