"Sneaker_name","Sneaker_url","Sneaker_img","Sneaker_title","Sneaker_title_url","Sneaker_brand","Sneaker_brand_url","Sneaker_description","Sneaker_brand_img","Sneaker_brand_img_url"
"Nike SB Zoom Stefan Janoski RM Premium (schwarz)","https://www.43einhalb.com/p/nike-sb-zoom-stefan-janoski-rm-premium-schwarz-380116","https://43einhalb.com/media/235427/w/616/h/370/n/nike-ci2231-003-sb-zoom-janoski-rm-prm-1.jpg","Cloud ""All Black""","https://www.43einhalb.com/p/on-cloud-all-black-106398","On","https://www.43einhalb.com/p/on-cloud-all-black-106398","Zusammen mit dem US-amerikanischen Skate-Profi Stefan Janoski präsentiert Nike hier den SB Zoom Stefan Janoski. Einzigartig wird die Silhouette durch ihren charakteristischen Shape, den man kaum auf anderen Silhouetten findet. Darüber hinaus vereint der Sneaker minimalistische Ästhetik mit ausgezeichnetem Aufprallschutz wie kein zweiter und ist daher perfekt zum Skaten geeignet. Aber eins ist klar: Auch ohne auf einem Skateboard zu stehen, sehen diese Sneaker verdammt gut aus!","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
"Reebok Club C 85 ""Color Pack - weiß / rot""","https://www.43einhalb.com/p/reebok-club-c-85-color-pack-weiss-rot-373382","https://43einhalb.com/media/235655/w/616/h/370/n/reebok-fx4764-club-c-85-1.jpg","ML574SSO (rot)","https://www.43einhalb.com/p/new-balance-ml574sso-rot-406879","New Balance","https://www.43einhalb.com/p/new-balance-ml574sso-rot-406879","Releasedate: 15.05.2020 | Online: 00:01 Uhr.
Für Reebok stehen Tradition und Authentizität an erster Stelle: Statt auf ausgefallene, Futuristische Modelle zu setzen, bleiben die Macher von Reebok lieber ihren Wurzeln treu und präsentieren mit dem Club C 85 den nächsten Klassiker aus den 80er Jahren.
Zur Freude der Retro-Fans hat sich der Sneaker optisch im Vergleich zum Vorbild von 1985 kaum verändert, an neuen technischen Features wurde allerdings nicht gespart. So stattet Reebok den Klassiker mit einer Eva-Midsole für die optimale Dämpfung und einem abriebfesten Rubber für zuverlässigen Grip aus.
Hier kommt der Reebok Club C 85 im gewohnt cleanen Look und mit einer Extraladung Retro-Charm. Pünktlich zum 35. Jubiläum des klassischen Tennisschuhs erscheint der Reebok Club C 85 mit einem »Limited Edition« Label auf der Zunge. Die roten Highlights sprechen für sich und verbreiten einfach gute Laune.
Zu unseren Reebok Club C 85-Modellen.","https://43einhalb.com/media/244388/w/240/h/158/n/244388.jpg","https://www.43einhalb.com/marken/reebok"
"KangaROOS Finalist OG NP (weiß / pink)","https://www.43einhalb.com/p/kangaroos-finalist-og-np-weiss-pink-393950","https://43einhalb.com/media/230556/w/616/h/370/n/kangaroos-47259-0030-finalist-og-np-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","","https://43einhalb.com/media/850/w/240/h/158/n/850.jpg","https://www.43einhalb.com/marken/kangaroos"
"New Balance MR530SJ (weiß / schwarz)","https://www.43einhalb.com/p/new-balance-mr530sj-weiss-schwarz-388362","https://43einhalb.com/media/232712/w/616/h/370/n/nb-798731-60-81-mr530sj-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","New Balance bringt einen weiteren Retro-Runner aus den frühen 2000er zurück!
In den letzten Jahren haben sich Silhouetten aus den späten 90ern und frühen ´00ern zu echten Style-Ikonen entwickelt. Kein Wunder also, dass die Brands fleißig in ihren Archiven kramen und einen Knaller nach dem anderen zurückbringen - so auch New Balance.
Der Sneaker ist ein echtes Ausnahme-Modell aus den New Balance Archiven. Untypisch für NB, aber typisch für die späten 90er ist die Kombination aus einem schlanken Upper und einer klobigen Sohle. Das Upper kommt in schwarzen Mesh mit Overlays aus Textil und Leder in Weiß und Schwarz, die die Linien der Silhouette gekonnt unterstreichen. Die weiße ABZORB Zwischensohle wird durch eine schwarze Außensohle perfekt abgerundet, während die New Balance Brandings auf der Zunge und den Seiten den Look komplettieren.
Mit dem 530 schafft es New Balance wieder einmal einen echten Vintage-Runner mit einer modernen, lässigen Ästhetik auszustatten.","https://43einhalb.com/media/212737/w/240/h/158/n/212737.jpg","https://www.43einhalb.com/marken/new-balance"
"New Balance MR530CC1 (weiß / türkis)","https://www.43einhalb.com/p/new-balance-mr530cc1-weiss-tuerkis-388384","https://43einhalb.com/media/232718/w/616/h/370/n/nb-801311-60-32-mr530cc1-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","New Balance bringt einen weiteren Retro-Runner aus den frühen 2000er zurück!
In den letzten Jahren haben sich Silhouetten aus den späten 90ern und frühen ´00ern zu echten Style-Ikonen entwickelt. Kein Wunder also, dass die Brands fleißig in ihren Archiven kramen und einen Knaller nach dem anderen zurückbringen - so auch New Balance.
Der Sneaker ist ein echtes Ausnahme-Modell aus den New Balance Archiven. Untypisch für NB, aber typisch für die späten 90er ist die Kombination aus einem schlanken Upper und einer klobigen Sohle. Das Upper kommt in weißem Mesh mit Overlays aus Textil und Leder in silber und türkis, die die Linien der Silhouette gekonnt unterstreichen. Die weiße ABZORB Zwischensohle wird durch eine schwarze Außensohle perfekt abgerundet, während die New Balance Brandings auf der Zunge und den Seiten den Look komplettieren.
Mit dem 530 schafft es New Balance wieder einmal einen echten Vintage-Runner mit einer modernen, lässigen Ästhetik auszustatten.","https://43einhalb.com/media/212737/w/240/h/158/n/212737.jpg","https://www.43einhalb.com/marken/new-balance"
"adidas Adilette W (gelb / weiß)","https://www.43einhalb.com/p/adidas-adilette-w-gelb-weiss-368868","https://43einhalb.com/media/233516/w/616/h/370/n/adidas-woman-eg5005-adilette-1.jpg","Classic Leather Legacy (orange / gelb / blau)","https://www.43einhalb.com/p/reebok-classic-leather-legacy-orange-gelb-blau-433572","Reebok","https://www.43einhalb.com/p/reebok-classic-leather-legacy-orange-gelb-blau-433572","BITTE BEACHTEN: Uns ist aufgefallen, dass die adidas Adilette etwas kleiner ausfällt. Solltet Ihr also zwischen zwei Größen stehen, entscheidet Euch lieber für die größere.
Liebevoll nannte die Süddeutsche Sie »die Proll-Schlappe ohne Schuld«. Als Adi Dassler 1972 die Adilette erfand, tat er dies nicht ohne Grund. Er war den Athleten einen Gefallen schuldig, da sie sich für die Umkleide einen Schuh wünschten, den sie auch in der Dusche tragen konnten. Daraufhin schuf Dassler die Badelatsche aus blauem Gummi mit vorgeformten Fußbett, seitlichen Saugnäpfen für den nötigen Halt an der Sohle und einem gefüttertem Riemen mit den drei weißen Streifen.
Damlals konnte Dassler nicht ahnen, dass die Adidas-Pantolette die heiligen Räume das Olympioniken so schnell verlassen und die Saunalandschaften der Normalbürger erobern würde. Letztendlich schaffte Sie es von dort auch auf die Campingplatze und Straßen deutscher Kleinstädte und schließlich den Bürgersteig vor der Trinkhalle »Seiler« im Kohlhaus zu Fulda.
Die Adilette verschmolz mit uns Deutschen und ruinierte unseren Ruf. Sie sorgte dafür, dass unsere Nachbarn noch heute glauben wir seine im Dauerurlaub und bewegen uns von der Couch, um nach den Chips zu greifen. Nun sind wir aber im 21. Jahrhundert und glauben daran, dass Sie die Stilkrise gemeistert hat. Die Adilette ist ab sofort die passende Antwort auf die FlipFlop und Crocs der Sommersaison - Original bleibt Original.
Hier kommt die adidas Adilette W mit in einem Pastell Gelben Colorway mit weißen details daher.","https://43einhalb.com/media/58939/w/240/h/158/n/58939.jpg","https://www.43einhalb.com/marken/adidas"
"ASICS SportStyle GEL-KAYANO 5 OG ""Soft Sky""","https://www.43einhalb.com/p/asics-sportstyle-gel-kayano-5-og-soft-sky-364145","https://43einhalb.com/media/232480/w/616/h/370/n/asics-1021a287-400-gel-kayano-5-og-1-kopie.jpg","M Clifton 7 (dunkelblau / grün)","https://www.43einhalb.com/p/hoka-one-one-m-clifton-7-dunkelblau-gruen-436120","HOKA ONE ONE","https://www.43einhalb.com/p/hoka-one-one-m-clifton-7-dunkelblau-gruen-436120","GEL-Kayano - Dieser Name steht bei ASICS Sportstyle für das Non-Plus-Ultra, für den vollendeten Performance Laufschuh. Bisher brachte der japanische Sportartikelhersteller in dieser Serie 25 Modelle auf den Markt und ein Ende ist noch lange nicht in Sicht. Seinen Anfang nahm diese Erfolgsstory im Jahr 1993. Der Original Gel-Kayano wurde damals für ambitionierte Langstreckenläufer konzipiert und deshalb mit gleich zwei GEL-Einheiten ausgerüstet: Ein Theta GEL-Pad am Hinterfuß und P-GEL am Vorderfuß. Zudem kommt der Sneaker mit einer Dual-Density Mittelsohle, kühlendem Mesh-Material und einer flexiblen Außensohle. Dank seiner überzeugenden Performance und seinem ikonischen Design hat der Gel-Kayano über die Jahre hinweg auch als beliebte Lifestyle-Silhouette von sich Reden gemacht und immer wieder mit neuen Looks für Aufsehen gesorgt.
So auch diesmal: Die Designer von ASICS Sportstyle begrüßen das neue Jahrzehnt mit einem richtigem Kracher und präsentieren eine Neuaufmachung des Gel-Kayano 5. Der ASICS SportStyle Gel-Kayano 5 OG »Soft Sky« kommt mit einem blau-weißen Leder Upper und Details in Grau.","https://43einhalb.com/media/213728/w/240/h/158/n/213728.jpg","https://www.43einhalb.com/marken/asics-sportstyle"
"ASICS SportStyle GEL-CITREK (weiß / schwarz)","https://www.43einhalb.com/p/asics-sportstyle-gel-citrek-weiss-schwarz-364245","https://43einhalb.com/media/232473/w/616/h/370/n/asics-woman-1022a198-101-gel-citrek-1.jpg","Force 1 TD (weiß)","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","Mit dem GEL-CITREK bringt ASICS Sport Style fortschrittliche Performance-Technologie in deinen Alltag!
Komfort – den ganzen Tag: Der GEL-CITREK verfügt über ein flexibles Mesh-Obermaterial und eine Mesh-Innensohle sowie einer EVA-Einlegesohle, die sich an die Form deines Fußes anpasst und für individuelle Dämpfung sorgt. Die rückfedernde EVA-Mittelsohle sorgt für ein federndes Tragegefühl, während die starke Außensohle aus Gummi dir den nötigen Grip garantiert.
An die Technologie klassischer Sportschuhe angelehnt, kommt auch dieser leichte Sneaker mit der einzigartigen GEL-Technologie im Rückfußbereich für Stoßabsorption auf harten Untergründen. Die interne Heel-Cap sorgt für zusätzliche Stabilität - den ganzen Tag! Aber nicht nur technisch, ist der ASICS GEL-CITREK ein echtes Must-Have, auch optisch hat der Sneaker einiges zu bieten. Das schlichte Upper in Schwarz und Weiß wird lediglich durch Akzente in leichtem Mint auf der Außensohle und dem Heel unterbrochen.","https://43einhalb.com/media/213728/w/240/h/158/n/213728.jpg","https://www.43einhalb.com/marken/asics-sportstyle"
"Nike Air Zoom Spiridon Cage 2 ""Track Red""","https://www.43einhalb.com/p/nike-air-zoom-spiridon-cage-2-track-red-381468","https://43einhalb.com/media/236356/w/616/h/370/n/nike-cj1288-600-air-zoom-spiridon-cage-2-1.jpg","ML574SSO (rot)","https://www.43einhalb.com/p/new-balance-ml574sso-rot-406879","New Balance","https://www.43einhalb.com/p/new-balance-ml574sso-rot-406879","Erinnerst Du Dich an die Zukunft? Der neue Nike Air Zoom Spiridon Cage 2 ist unverfälschter Millenium-Style vom Feinsten und behält seinen Look, den er schon zu seinem Debüt im Jahr 2003 hatte!
Mit der Stüssy Kollektion hat Nike Sportswear der Neuauflage des Spiridon Cage 2 genau den richtigen Startschuss gegeben. Seither steht die futuristische Silhouette vor allem für auffällige Styles. So sorgt der »Millennial Sneaker« nun auch im »Track Red«-Colorway für einen starken Look.
Seinen Namen hat der Air Zoom Spiridon Cage 2 übrigens von dem größeren »Caged«-Airbag an der Ferse erhalten. Der hat nicht nur den Look der frühen 00er Jahre, sondern bietet auch das komfortable Laufgefühl, das wir vom Zoom Air kennen und lieben!","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike"
"Reebok Classic Leather MU (beige / orange)","https://www.43einhalb.com/p/reebok-classic-leather-mu-beige-orange-366230","https://43einhalb.com/media/227477/w/616/h/370/n/reebok-ef3383-cl-leather-mu-1.jpg","V-10 - B-MESH (beige / weiß)","https://www.43einhalb.com/p/veja-v-10%09-b-mesh-beige-weiss-392484","VEJA","https://www.43einhalb.com/p/veja-v-10%09-b-mesh-beige-weiss-392484","Kommt nie aus der Mode!
Diese Aussage trifft auf keinen Schuh so perfekt zu wie auf den Classic Leather. Die Running-Legende aus den 80er Jahren prägte die Reebok-Laufgeschichte wie kaum ein andere Schuh - und zeigt auch heute noch, wie gut ein alter Laufhase aussehen kann.
Wie sein Name schon sagt, besteht das cleane Obermaterial des Schuhs aus Leder. Die leichte, gestanzte EVA-Zwischensohle sorgt dabei für optimale Dämpfung, während die vorgeformte, strapazierfähige PU-Einlegesohle zusätzlichen Tragekomfort bietet.
Der Classic Leather hat sich seit seiner Markteinführung allerdings nicht nur in der Laufszene bewährt, er schaffte es auch in die Subkulturen sowie Sneaker- und Musikszene. Dass der Lederschuh die Herzen der Sneaker-Fans im Handumdrehen eroberte, verwundert uns an dieser Stelle nicht! Denn die Silhouette passt einfach zu allem - egal ob Jeans, Rock oder Jogger.
Es ist also egal, welche Musik Du hörst oder welcher Kleidungsstil bei Dir im Schrank eingezogen ist, eines steht fest: Der Reebok Classic Leather ist »Always Classic«!
Weitere Reebok Classic Leather Modelle befinden sich in der Reebok Classic Leather Übersicht.","https://43einhalb.com/media/244388/w/240/h/158/n/244388.jpg","https://www.43einhalb.com/marken/reebok"
