"Sneaker_name","Sneaker_url","Sneaker_img","Sneaker_title","Sneaker_brand","Sneaker_price","Sneaker_description","Sneaker_brand_img","Sneaker_brand_img_url","Sneaker_title_url","Sneaker_brand_url"
"adidas Yeezy 700 V3 ""Clay Brown""","https://www.43einhalb.com/p/adidas-yeezy-700-v3-clay-brown-481423","https://43einhalb.com/media/256110/w/616/h/370/n/adidas-gy0189-yeezy-boost-700-v3-clay-brown-1-kopie.jpg","Yeezy 700 V3 ""Clay Brown""","adidas","€ 199,95","Releasedate: 21.12.2020 | Online: 08:00 Uhr.
adidas und Kanye West bringen den neuen YEEZY 700 V3 »Clay Brown« Colorway an den Start!
Der adidas YEEZY 700 V3 »Clay Brown« verfügt über ein Upper aus Mesh mit aufgesetzten RPU-Overlays, die für Struktur und Langlebigkeit sorgen. Der RPU-Cage leuchtet im Dunkeln und garantiert dank der »Glow In The Dark«-Funktion einen einzigartigen Look!
Der Schuh kommt außerdem mit einem flexiblen Lacing-System daher, welches ein einfaches An- und Ausziehen ermöglicht. Zusätzlich wird der neueste Colorway des Yeezy V3 mit einem zweiten Set Laces geliefert. Die bequeme EVA-Zwischensohle sorgt für Komfort und Langlebigkeit. Abgerundet wird das coole Design durch die eigens entwickelte Außensohle aus Gummi, die für verbesserte Traktion liefert.","https://43einhalb.com/media/58939/w/240/h/158/n/58939.jpg","https://www.43einhalb.com/marken/adidas","",""
"ASICS SportStyle Gel-Kayano 14 (weiß / rot)","https://www.43einhalb.com/p/asics-sportstyle-gel-kayano-14-weiss-rot-490543","https://43einhalb.com/media/256100/w/616/h/370/n/asics-1201a019-103-gel-kayano-14-1.jpg","WROAVTK (schwarz / weiß)","New Balance","€ 149,95","Releasedate: 18.12.2020 | Online: 00:01 Uhr.
Mit dem Gel-Kayano 14 Sneaker präsentiert uns ASICS Sportstyle einen Laufschuh mit der Ästhetik der späten 2000er Jahre, die eine neue Facette der Retro-Silhouette des legendären GEL-Kayano vermittelt. Die neue Version des Kayanos interpretiert die funktionale Eigenschaften des Schuhs mit hochwertigen Materialien und Komponenten neu und ist gleichzeitig die erste Auflage der Linie, die nicht von Toshikazu Kayano entworfen wurde.
Der Kayano folgt noch immer dem ikonischen »Layer-Design« und verspricht dank der GEL-Dämpfungstechnologie ein bequemes Laufgefühl.","https://43einhalb.com/media/213728/w/240/h/158/n/213728.jpg","https://www.43einhalb.com/marken/asics-sportstyle","https://www.43einhalb.com/p/new-balance-wroavtk-schwarz-weiss-359845","https://www.43einhalb.com/p/new-balance-wroavtk-schwarz-weiss-359845"
"ASICS SportStyle Gel-Kayano 14 (weiß / gold)","https://www.43einhalb.com/p/asics-sportstyle-gel-kayano-14-weiss-gold-490507","https://43einhalb.com/media/256109/w/616/h/370/n/asics-1201a019-102-gel-kayano-14-1.jpg","WROAVTK (schwarz / weiß)","New Balance","€ 149,95","Releasedate: 18.12.2020 | Online: 00:01 Uhr.
Mit dem Gel-Kayano 14 Sneaker präsentiert uns ASICS Sportstyle einen Laufschuh mit der Ästhetik der späten 2000er Jahre, die eine neue Facette der Retro-Silhouette des legendären GEL-Kayano vermittelt. Die neue Version des Kayanos interpretiert die funktionale Eigenschaften des Schuhs mit hochwertigen Materialien und Komponenten neu und ist gleichzeitig die erste Auflage der Linie, die nicht von Toshikazu Kayano entworfen wurde.
Der Kayano folgt noch immer dem ikonischen »Layer-Design« und verspricht dank der GEL-Dämpfungstechnologie ein bequemes Laufgefühl.","https://43einhalb.com/media/213728/w/240/h/158/n/213728.jpg","https://www.43einhalb.com/marken/asics-sportstyle","https://www.43einhalb.com/p/new-balance-wroavtk-schwarz-weiss-359845","https://www.43einhalb.com/p/new-balance-wroavtk-schwarz-weiss-359845"
"Nike WMNS Air Max 1 (weiß)","https://www.43einhalb.com/p/nike-wmns-air-max-1-weiss-453002","https://43einhalb.com/media/255880/w/616/h/370/n/nike-women-dc9204-100-air-max-1-summit-white-wear-away-upper-1.jpg","Force 1 TD (weiß)","Nike","€ 149,95","Releasedate: 19.12.2020 | Online: 09:00 Uhr.
Heiliger Grahl, Ursprung, Meilenstein – man kann den Air Max 1 betiteln wie man möchte, es lässt sich nicht von der Hand weisen, dass dieser Schuh die Sneaker-Welt beeinflusste wie kaum ein anderer. Der ursprüngliche Name des Modells verwies auf sein Herstellungsjahr 1987, während sich seine heutige Bezeichnung noch deutlicher auf sein Alleinstellungsmerkmal bezieht: der Air Max 1 war der erste Nike Air Max überhaupt.
Auf den ersten Blick wirkt diese WMNS-Version des legendären Sneakers relativ clean und schlicht, bei genaueren Hinsehen kann man allerdings schon vermuten, das Nike uns hier keinen normalen Colorway präsentiert, denn der Air Max 1 »Summit White« verfügt über ein »Wear-Away«-Upper, das wir schon von den Lance Mountain Air Jordan 1 SB-Versionen oder den Dunk HI SB Statue of Liberty kennen. Ein absolut cooles Konzept wie wir finden - denn durch längeres Tragen bekommt der AM1 seinen ganz eigenen, individuellen Style.
Der WMNS Air Max 1 »Summit White« kommt außerdem mit einem speziellen Tuch daher, mit dem Ihr das Upper zusätzlich per Hand bearbeiten könnt!","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838"
"Nike Air Force 1 ""NDSTRKT""","https://www.43einhalb.com/p/nike-air-force-1-ndstrkt-478453","https://43einhalb.com/media/255875/w/616/h/370/n/nike-cz3596-100-ndstrkt-af1-1-kopie.jpg","Force 1 TD (weiß)","Nike","€ 149,95","Releasedate: 19.12.2020 | Online: 09:00 Uhr.
Pünktlich zu den dieses Jahr wirklich unberechenbar wirkenden Wintermonaten präsentiert uns Nike Sportswear jetzt das neue »NDSTRKT«-Pack bestehend aus dem kultigen Air Force 1 und dem legendären Air Max 95, der 2020 bereits sein 25-jähriges Jubiläum feiert. Um Euere Füße zu schützen, hat der Swoosh beide Sneaker mit strapazierfähigen Gummi-Overlays, die sich über den kompletten Vorderfuß-Bereich erstrecken, ausgestattet. Zusätzlich sorgen die reflektierenden Details der beiden Sneaker-Silhouetten nochmals für ein optisches Highlight.","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838"
"Nike Blazer Mid '77 “Recycled Pack”","https://www.43einhalb.com/p/nike-blazer-mid-77-recycled-pack-450916","https://43einhalb.com/media/255611/w/616/h/370/n/nike-cw5838-022-blazer-mid-77-recycled-pack-1.jpg","Cloud Hi (grau)","On","€ 109,95","Releasedate: 17.12.2020 | Online: 09:00 Uhr.
Nike hat im Laufe diesen Jahres eine Vielzahl nachhaltiger und umweltfreundliche Serien wie das »Crater Pack« oder die »Space Hippie« Serie releast - und das war längst noch nicht alles! Getreu dem Motto »Move to Zero« verwendet auch das neue »Recycled Pack« wie der Name schon verlauten lässt, hauptsächlich recycelte Materialien. Neben dem Nike Air Max 90, der in diesem Jahr übrigens bereits sein 30. Jubiläum feiert, reiht sich auch noch der Blazer Mid ´77, der Daybreak Type und ein Air Force 1 ´07 in dieses Line-Up ein.
Der einst als Basketball-Silhouette entwickelte Nike Blazer Mid ´77 releast hier in einem überwiegend grauem Upper, auf dem sich ein aufgestickter weißer Swoosh befindet, während die Nähte rundherum in einem auffälligen »Sport Red« daher kommen. Details auf der Zunge und an der Ferse sind ebenfalls im selben Rot-Ton gehalten und werden von einem kräftigen »Electric Green«-Farbton begleitet, indem auch der Mini-Swoosh auf der lateralen Seite der Midsole aufgedruckt ist.","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","https://www.43einhalb.com/p/on-cloud-hi-grau-362677"
"Nike Air Force 1 '07 Premium ""Toll Free""","https://www.43einhalb.com/p/nike-air-force-1-07-premium-toll-free-447916","https://43einhalb.com/media/255881/w/616/h/370/n/nike-cj1631-100-air-force-1-07-premium-1.jpg","Force 1 TD (weiß)","Nike","€ 129,95","Releasedate: 19.12.2020 | Online: 09:00 Uhr.
Es gibt nur wenige Silhouetten im Sneaker-Game, die kaum noch einleitende Worte bedürfen. Weil sie gefühlt schon immer da waren, weil sie auf der ganzen Welt getragen werden und weil sie einfach jeden gehypten Sneaker-Trend überdauern. Der Nike Air Force 1 kann ohne Zweifel zu diesen zeitlosen Modellen gezählt werden, die voller Stolz den Titel »Sneaker-Ikone« tragen dürfen. Auch wenn die Attribute »ikonisch« oder »legendär« heutzutage ziemlich wahllos verwendet werden und schnell auch mal alltägliche Sachen, wie lustige Youtube-Videos oder eine schmackhafte Smoothie-Bowl beschreiben, ist und bleibt eine »Ikone« laut offizieller Duden-Definition eine »Person oder Sache, die als Verkörperung bestimmter Werte, Vorstellungen oder eines bestimmte Lebensgefühls« gehandelt wird. Eins steht fest: Wenn überhaupt ein Sneaker den Titel »Ikone« verdient hat, dann ist es wohl der Nike Air Force 1.
Ursprünglich 1982 als erster Basketballschuh mit der der Nike Air Technologie auf den Markt bzw. Court gebracht, ließ bereits der Name der neuen Premium-Silhouette Großes erwarten. So zog man Inspiration bei dem Präsidenten der Vereinigten Staaten selbst und taufte den neuen Basketball-Sneaker kurzerhand in Anlehnung an das Präsidentenflugzeug »Air Force 1«. Während der Kultsneaker zunächst als praktische High-Top-Schuh auf dem Court groß und später als angesagt Low-Top-Verison in der Hip Hop-Szene gefeiert wurde, dient die klassische AF1-Silhouette seither als Grundlage für zahlreiche künstlerische Designs, subtile zeitgemäße Updates und starke Kollaborationen. Dabei ging jedoch nie die typische AF1-DNA, die wir by the way ihrem Designer Bruce Kilgore zu verdanken haben, verloren. Dank seiner zeitlosen Wandelbarkeit mauserte sich die einzigartige Air Force-Silhouette nach und nach zum unangefochtenen Standard in der weltweiten Streetwear-Szene – eine waschechte »Ikone« eben, die sich ihren Titel mehr als verdient hat.
Dieses mal überrascht uns der Air Force 1 Premium mit der »Toll Free«-Version, die von der bekannten Freephone-Hotline »1-800« aus den USA inspiriert wurde. Das Upper des Schuhs besteht aus einem hochwertigen Glattleder, auf dem thematisch dazu passende Slogans festgehalten wurden. In Kombination mit der abgedunkelten Midsole verbreitet der AF1 einen leichten Vintage-Vibe. Sowohl auf dem Heel und der Zunge wurden die typischen Nike Air Brandings dieses mal durch »1-800« Grafiken ersetzt. Abgerundet wird dieses einfallsreiche Design durch die Lace-Jewels, die die Wählfelder öffentlicher Telefone symbolisieren.","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838","https://www.43einhalb.com/p/nike-force-1-td-weiss-251838"
"Nike Air Max 90 “Recycled Pack”","https://www.43einhalb.com/p/nike-air-max-90-recycled-pack-448634","https://43einhalb.com/media/255598/w/616/h/370/n/nike-ct1684-100-air-max-90-recyled-pack-1.jpg","Cloud Hi (grau)","On","€ 149,95","Releasedate: 17.12.2020 | Online: 09:00 Uhr.
Nike hat im Laufe diesen Jahres eine Vielzahl nachhaltiger und umweltfreundliche Serien wie das »Crater Pack« oder die »Space Hippie« Serie releast - und das war längst noch nicht alles! Getreu dem Motto »Move to Zero« verwendet auch das neue »Recycled Pack« wie der Name schon verlauten lässt, hauptsächlich recycelte Materialien. Neben dem Nike Air Max 90, der in diesem Jahr übrigens bereits sein 30. Jubiläum feiert, reiht sich auch noch der Blazer Mid ´77, der Daybreak Type und ein Air Force 1 ´07 in dieses Line-Up ein.
Natürlich darf auch der legendäre Air Max 90 als Teil des nachhaltigen »Recycled Packs« nicht fehlen - erst recht nicht, nach dem großartigen Jahr, das die Kult-Silhouette dieses Jahr hingelegt hat. Der Air Max 90 releast hier in einer weißen Base, auf der eine Vielzahl grauer recycelter Textil-Panels aufgesetzt wurden. Wie schon die anderen Silhouetten des innovativen Packs verfügt auch der Air Max 90 über Farbakzente in »Sport Red« und »Electric Green«.","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","https://www.43einhalb.com/p/on-cloud-hi-grau-362677"
"Nike Air Max 95 ""NDSTRKT""","https://www.43einhalb.com/p/nike-air-max-95-ndstrkt-461193","https://43einhalb.com/media/255902/w/616/h/370/n/nike-cz3591-002-ndstrkt-am95-1.jpg","Cloud Hi (grau)","On","€ 199,95","Gerade rechtzeitig für die unberechenbaren Wintermonate präsentiert uns Nike Sportswear jetzt das neue »NDSTRKT«-Pack bestehend aus dem kultigen Air Force 1 und dem legendären Air Max 95, der 2020 bereits sein 25-jähriges Jubiläum feiert. Um Euere Füße zu schützen, hat der Swoosh beide Sneaker mit strapazierfähigen Gummi-Overlays, die sich über den kompletten Vorderfuß-Bereich erstrecken, ausgestattet. Zusätzlich sorgen die reflektierenden Details der beiden Sneaker-Silhouetten nochmals für ein optisches Highlight.","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike","https://www.43einhalb.com/p/on-cloud-hi-grau-362677","https://www.43einhalb.com/p/on-cloud-hi-grau-362677"
"Nike Daybreak (dunkelblau / hellblau)","https://www.43einhalb.com/p/nike-daybreak-dunkelblau-hellblau-451964","https://43einhalb.com/media/256329/w/616/h/370/n/nike-db4635-400-daybreak-1-kopie.jpg","Daybreak (dunkelblau / hellblau)","Nike","€ 99,95","","https://43einhalb.com/media/58940/w/240/h/158/n/58940.jpg","https://www.43einhalb.com/marken/nike","",""
